年份,人数（单位：万）
1949,2.10
1978,16.50
1979,8.50
1980,14.70
1981,14
1982,45.70
1983,33.50
1984,28.70
1985,31.60
1986,39.30
1987,53.20
1988,55.40
1989,57.62
1990,61.36
1991,61.43
1992,60.42
1993,57.07
1994,63.74
1995,80.54
1996,83.86
1997,82.91
1998,82.98
1999,84.76
2000,94.98
2001,103.63
2002,133.73
2003,187.75
2004,239.10
2005,306.80
2006,377.47
2007,447.79
2008,512
2009,531.10
2010,575.40
2011,608.20
2012,624.70
2013,699
2014,727
2015,749
2016,765
2017,795
2018,821
2019,834
2020,874
2021,909
2022,1076
2023,1158
2024,1179
2025,1222
